from,to,conversion_factor
2001,1968,1.0379265443088241
2002,1968,1.0295377225964293
2003,1968,1.0310040888613647
2004,1968,1.0317398714758126
2005,1968,1.03634617017485
2006,1968,1.037798037663388
2007,1968,1.0407167690394892
2008,1968,1.0694505280081967
2009,1968,1.0232687670545302
2010,1968,1.0299212821626715
2011,1968,1.0449698305485993
2012,1968,1.0348341045519274
2013,1968,1.027433551887506
2014,1968,1.0228164387639684
2015,1968,1.015080896769836
2016,1968,1.0156897575492994
2017,1968,1.0241149869140294
1962,1969,1.0364231257188623
1963,1969,1.0364231257188623
1964,1969,1.0364231257188623
1965,1969,1.0364231257188623
1966,1969,1.0364231257188623
1967,1969,1.0364231257188623
1968,1969,1.0364231257188623
1969,1969,1
1970,1969,1.0501980031254567
1971,1969,1.0546429532229757
1972,1969,1.0587529859015727
1973,1969,1.0916848035810458
1974,1969,1.154043911129286
1975,1969,1.124720336828216
1976,1969,1.0969145386326704
1977,1969,1.1035383186462282
1978,1969,1.0862361818879926
1979,1969,1.101042240936484
1980,1969,1.1373631275845262
1981,1969,1.1284491271429455
1982,1969,1.1037922131698876
1983,1969,1.0937208721296852
1984,1969,1.0903986972855368
1985,1969,1.0867647174527224
1986,1969,1.0649634433157162
1987,1969,1.0697721238464266
1988,1969,1.099683825125001
1989,1969,1.146370358673259
1990,1969,1.2328597005478954
1991,1969,1.1103742379883184
1992,1969,1.1096042804578876
1993,1969,1.2079032999295152
1994,1969,1.2389418272963342
1995,1969,1.0915131196761574
1996,1969,1.0650805277611939
1997,1969,1.0472283034294643
1998,1969,1.043937957390063
1999,1969,1.0341815277985629
2000,1969,1.0368453746401993
2001,1969,1.0379265443088241
2002,1969,1.0295377225964293
2003,1969,1.0310040888613647
2004,1969,1.0317398714758126
2005,1969,1.03634617017485
2006,1969,1.037798037663388
2007,1969,1.0407167690394892
2008,1969,1.0694505280081967
2009,1969,1.0232687670545302
2010,1969,1.0299212821626715
2011,1969,1.0449698305485993
2012,1969,1.0348341045519274
2013,1969,1.027433551887506
2014,1969,1.0228164387639684
2015,1969,1.015080896769836
2016,1969,1.0156897575492994
2017,1969,1.0241149869140294
1962,1970,1.0501980031254567
1963,1970,1.0501980031254567
1964,1970,1.0501980031254567
1965,1970,1.0501980031254567
1966,1970,1.0501980031254567
1967,1970,1.0501980031254567
1968,1970,1.0501980031254567
1969,1970,1.0501980031254567
1970,1970,1
1971,1970,1.0546429532229757
1972,1970,1.0587529859015727
1973,1970,1.0916848035810458
1974,1970,1.154043911129286
1975,1970,1.124720336828216
1976,1970,1.0969145386326704
1977,1970,1.1035383186462282
1978,1970,1.0862361818879926
1979,1970,1.101042240936484
1980,1970,1.1373631275845262
1981,1970,1.1284491271429455
1982,1970,1.1037922131698876
1983,1970,1.0937208721296852
1984,1970,1.0903986972855368
1985,1970,1.0867647174527224
1986,1970,1.0649634433157162
1987,1970,1.0697721238464266
1988,1970,1.099683825125001
1989,1970,1.146370358673259
1990,1970,1.2328597005478954
1991,1970,1.1103742379883184
1992,1970,1.1096042804578876
1993,1970,1.2079032999295152
1994,1970,1.2389418272963342
1995,1970,1.0915131196761574
1996,1970,1.0650805277611939
1997,1970,1.0472283034294643
1998,1970,1.043937957390063
1999,1970,1.0341815277985629
2000,1970,1.0368453746401993
2001,1970,1.0379265443088241
2002,1970,1.0295377225964293
2003,1970,1.0310040888613647
2004,1970,1.0317398714758126
2005,1970,1.03634617017485
2006,1970,1.037798037663388
2007,1970,1.0407167690394892
2008,1970,1.0694505280081967
2009,1970,1.0232687670545302
2010,1970,1.0299212821626715
2011,1970,1.0449698305485993
2012,1970,1.0348341045519274
2013,1970,1.027433551887506
2014,1970,1.0228164387639684
2015,1970,1.015080896769836
2016,1970,1.0156897575492994
2017,1970,1.0241149869140294
1962,1971,1.0546429532229757
1963,1971,1.0546429532229757
1964,1971,1.0546429532229757
1965,1971,1.0546429532229757
1966,1971,1.0546429532229757
1967,1971,1.0546429532229757
1968,1971,1.0546429532229757
1969,1971,1.0546429532229757
1970,1971,1.0546429532229757
1971,1971,1
1972,1971,1.0587529859015727
1973,1971,1.0916848035810458
1974,1971,1.154043911129286
1975,1971,1.124720336828216
1976,1971,1.0969145386326704
1977,1971,1.1035383186462282
1978,1971,1.0862361818879926
1979,1971,1.101042240936484
1980,1971,1.1373631275845262
1981,1971,1.1284491271429455
1982,1971,1.1037922131698876
1983,1971,1.0937208721296852
1984,1971,1.0903986972855368
1985,1971,1.0867647174527224
1986,1971,1.0649634433157162
1987,1971,1.0697721238464266
1988,1971,1.099683825125001
1989,1971,1.146370358673259
1990,1971,1.2328597005478954
1991,1971,1.1103742379883184
1992,1971,1.1096042804578876
1993,1971,1.2079032999295152
1994,1971,1.2389418272963342
1995,1971,1.0915131196761574
1996,1971,1.0650805277611939
1997,1971,1.0472283034294643
1998,1971,1.043937957390063
1999,1971,1.0341815277985629
2000,1971,1.0368453746401993
2001,1971,1.0379265443088241
2002,1971,1.0295377225964293
2003,1971,1.0310040888613647
2004,1971,1.0317398714758126
2005,1971,1.03634617017485
2006,1971,1.037798037663388
2007,1971,1.0407167690394892
2008,1971,1.0694505280081967
2009,1971,1.0232687670545302
2010,1971,1.0299212821626715
2011,1971,1.0449698305485993
2012,1971,1.0348341045519274
2013,1971,1.027433551887506
2014,1971,1.0228164387639684
2015,1971,1.015080896769836
2016,1971,1.0156897575492994
2017,1971,1.0241149869140294
1962,1972,1.0587529859015727
1963,1972,1.0587529859015727
1964,1972,1.0587529859015727
1965,1972,1.0587529859015727
1966,1972,1.0587529859015727
1967,1972,1.0587529859015727
1968,1972,1.0587529859015727
1969,1972,1.0587529859015727
1970,1972,1.0587529859015727
1971,1972,1.0587529859015727
1972,1972,1
1973,1972,1.0916848035810458
1974,1972,1.154043911129286
1975,1972,1.124720336828216
1976,1972,1.0969145386326704
1977,1972,1.1035383186462282
1978,1972,1.0862361818879926
1979,1972,1.101042240936484
1980,1972,1.1373631275845262
1981,1972,1.1284491271429455
1982,1972,1.1037922131698876
1983,1972,1.0937208721296852
1984,1972,1.0903986972855368
1985,1972,1.0867647174527224
1986,1972,1.0649634433157162
1987,1972,1.0697721238464266
1988,1972,1.099683825125001
1989,1972,1.146370358673259
1990,1972,1.2328597005478954
1991,1972,1.1103742379883184
1992,1972,1.1096042804578876
1993,1972,1.2079032999295152
1994,1972,1.2389418272963342
1995,1972,1.0915131196761574
1996,1972,1.0650805277611939
1997,1972,1.0472283034294643
1998,1972,1.043937957390063
1999,1972,1.0341815277985629
2000,1972,1.0368453746401993
2001,1972,1.0379265443088241
2002,1972,1.0295377225964293
2003,1972,1.0310040888613647
2004,1972,1.0317398714758126
2005,1972,1.03634617017485
2006,1972,1.037798037663388
2007,1972,1.0407167690394892
2008,1972,1.0694505280081967
2009,1972,1.0232687670545302
2010,1972,1.0299212821626715
2011,1972,1.0449698305485993
2012,1972,1.0348341045519274
2013,1972,1.027433551887506
2014,1972,1.0228164387639684
2015,1972,1.015080896769836
2016,1972,1.0156897575492994
2017,1972,1.0241149869140294
1962,1973,1.0916848035810458
1963,1973,1.0916848035810458
1964,1973,1.0916848035810458
1965,1973,1.0916848035810458
1966,1973,1.0916848035810458
1967,1973,1.0916848035810458
