country_iso,year,gdp,gdp_percap
and,2012,3188808942.56713,38686.4612635075
and,2013,3193704343.20627,39540.7248137461
and,2014,3271808157.30038,41303.9293714464
and,2015,2789870187.50693,35770.7767044085
and,2016,2896679211.86628,37475.6350587526
and,2017,3000180750.11297,38964.904478265
and,2018,3218316013.22626,41791.9698372411
and,2019,3155065487.51819,40897.3308728669
are,1975,14720672506.5004,26848.0881760738
are,1976,19213022691.0526,30117.9489330308
are,1977,24871775164.6043,33823.1816606368
are,1978,23775831783.4263,28457.0780342099
are,1979,31225463217.7582,33512.6334236559
are,1980,43598748449.0479,42764.5405564139
are,1981,49333424135.1131,44987.5379901852
are,1982,46622718605.2847,40025.8226237317
are,1983,42803323345.1376,34843.1596263749
are,1984,41807954235.903,32309.8327132028
are,1985,40603650231.5445,29720.8977184634
are,1986,33943612094.7971,23467.8793176905
are,1987,36384908744.2114,23726.3070493825
are,1988,36275674203.2144,22295.1187062952
are,1989,41464995913.9199,24028.2624976646
are,1990,50701443748.2975,27729.3905933305
are,1991,51552165622.4462,26612.253110068
are,1992,54239171887.769,26420.8598834079
are,1993,55625170253.337,25596.7393895625
are,1994,59305093979.842,25848.016250094
are,1995,65743666575.8649,27221.9344117425
are,1996,73571233996.1863,28975.0799572712
are,1997,78839008444.5655,29512.6747918254
are,1998,75674336283.1858,26899.601766231
are,1999,84445473110.9598,28470.885858149
are,2000,104337372362.151,33291.3662541838
are,2001,103311640571.818,31280.7558649555
are,2002,109816201497.617,31567.5463066439
are,2003,124346358066.712,33499.1027760786
are,2004,147824370319.946,36333.1873330517
are,2005,180617467964.602,39365.4596409245
are,2006,222116541865.214,41907.4214695701
are,2007,257916133424.098,41809.4621626311
are,2008,315474615738.598,44498.9405069137
are,2009,253547358747.447,32024.1977823245
are,2010,289787338325.391,33893.2638727391
are,2011,350666031313.819,39194.672239975
are,2012,374590605854.323,40976.4907464015
are,2013,390107556160.654,42412.6395002704
are,2014,403137100068.074,43751.8056478669
are,2015,358135057862.492,38663.4005026605
are,2016,357045064669.843,38141.8671313451
are,2017,385605506848.196,40644.7911901772
are,2018,422215043594.282,43839.3244866903
are,2019,417215559513.364,42701.4430454782
are,2020,358868765174.924,36284.5552429552
arg,1962,24450604877.6081,1155.89071669257
arg,1963,18272123664.4715,850.304578624232
arg,1964,25605249381.7597,1173.23810525517
arg,1965,28344705966.6389,1279.11377848123
