country_iso,from,to,gdp_deflator
and,1983,1984,1.108647343709065
and,1984,1985,1.0859546376147362
and,1985,1986,1.108788152564798
and,1986,1987,1.059441988101207
and,1987,1988,1.0593612498877953
and,1988,1989,1.0689620714766037
and,1989,1990,1.0732624365429133
and,1990,1991,1.0693514836233597
and,1991,1992,1.0671076896051142
and,1992,1993,1.0453723214675859
and,1993,1994,1.038798583215863
and,1994,1995,1.0493312104936552
and,1995,1996,1.0079717772932126
and,1996,1997,1.0222816030666122
and,1997,1998,1.014995538433127
and,1998,1999,1.0273197952535102
and,1999,2000,1.287415528975991
and,2000,2001,1.030805351791656
and,2001,2002,1.0323953176987777
and,2002,2003,1.0317748421556476
and,2003,2004,1.0304242399802694
and,2004,2005,1.0339610212995052
and,2005,2006,1.0345718408670397
and,2006,2007,1.0321122734131436
and,2007,2008,1.0227433831984323
and,2008,2009,1.0013213613240546
and,2009,2010,1.0037431375811012
and,2010,2011,1.0019676415203105
and,2011,2012,1.0017455690577948
and,2012,2013,1.0044849220019474
and,2013,2014,0.9991598068344293
and,2014,2015,1.0066058895913788
and,2015,2016,1.0034779538157579
and,2016,2017,1.0113650934319638
and,2017,2018,1.0101247848005297
and,2018,2019,1.0137475350829188
and,2019,2020,1.0105809563795456
are,1975,1976,1.117743313549633
are,1976,1977,1.052557560912582
are,1977,1978,0.9633888850455996
are,1978,1979,1.0705102054449354
are,1979,1980,1.095159760347507
are,1980,1981,1.070544839823543
are,1981,1982,1.0131286872877228
are,1982,1983,0.9638198278147657
are,1983,1984,0.9390253281366124
are,1984,1985,1.0074053288990028
are,1985,1986,0.9830151470258025
are,1986,1987,1.036855848026167
are,1987,1988,1.0238104573165367
are,1988,1989,1.0175127660936019
are,1989,1990,1.0333590049399268
are,1990,1991,1.0081084872471544
are,1991,1992,1.0180682611993994
are,1992,1993,1.0127803630532681
are,1993,1994,0.9973752507770166
are,1994,1995,1.0390747975417074
are,1995,1996,1.057730439065422
are,1996,1997,0.9904769929419431
are,1997,1998,0.9574555467914894
are,1998,1999,1.0844337745491752
are,1999,2000,1.114595357967841
are,2000,2001,0.9765069232828333
are,2001,2002,1.0377083954880202
are,2002,2003,1.04072406796076
are,2003,2004,1.0850142205935693
are,2004,2005,1.165263069319227
are,2005,2006,1.119621492822572
are,2006,2007,1.125339606710296
are,2007,2008,1.185333530817247
are,2008,2009,0.848170201159954
are,2009,2010,1.124901315592292
are,2010,2011,1.131672552881618
are,2011,2012,1.0223845022744016
are,2012,2013,0.9913310285276201
are,2013,2014,0.9897510122557627
are,2014,2015,0.845581140467608
are,2015,2016,0.968067255649739
are,2016,2017,1.05495133267902
are,2017,2018,1.0820653729205834
are,2018,2019,0.9555596289165857
are,2019,2020,0.9163664272876784
arg,1960,1961,1.203106975252928
arg,1961,1962,1.288718416517331
arg,1962,1963,1.255911543481732
arg,1963,1964,1.287746173195633
arg,1964,1965,1.212329349235212
arg,1965,1966,1.256034624263967
arg,1966,1967,1.290182629356081
arg,1967,1968,1.102753105574405
arg,1968,1969,1.0779583003660558
arg,1969,1970,1.0646787463937974
arg,1970,1971,1.312710638825753
arg,1971,1972,1.6424478591817548
arg,1972,1973,1.655352873661713
arg,1973,1974,1.306304413715773
arg,1974,1975,2.97697364540376
arg,1975,1976,5.38322779724218
arg,1976,1977,2.59427177705708
arg,1977,1978,2.6137217200577396
arg,1978,1979,2.4737704403869403
arg,1979,1980,1.9579042461112262
arg,1980,1981,2.0527636637456
arg,1981,1982,2.9453529967142402
arg,1982,1983,4.80158528520508
arg,1983,1984,7.11196303889043
arg,1984,1985,7.0744749782050595
arg,1985,1986,1.772922366864323
arg,1986,1987,2.27539918062845
arg,1987,1988,4.81246344411434
arg,1988,1989,31.4609115199662
arg,1989,1990,21.7831681803114
arg,1990,1991,2.4050237866363195
arg,1991,1992,1.160719935356945
arg,1992,1993,0.9643890442423425
arg,1993,1994,1.0284933971509302
arg,1994,1995,1.0316512339016517
arg,1995,1996,0.9994762450340958
arg,1996,1997,0.995360868688357
arg,1997,1998,0.9829472037599915
arg,1998,1999,0.9816344160779336
arg,1999,2000,1.0103728710073174
arg,2000,2001,0.9890423228166321
arg,2001,2002,1.30555204053903
arg,2002,2003,1.104957030215496
arg,2003,2004,1.183633542492033
arg,2004,2005,1.103175111982406
arg,2005,2006,1.137410524859152
arg,2006,2007,1.149399250245835
arg,2007,2008,1.231711649813124
arg,2008,2009,1.153776493708921
arg,2009,2010,1.20915124272047
arg,2010,2011,1.237034721839593
arg,2011,2012,1.223148806733049
arg,2012,2013,1.239487984162746
arg,2013,2014,1.4028297163155061
arg,2014,2015,1.265799916024707
arg,2015,2016,1.411193799882279
arg,2016,2017,1.260063792819079
arg,2017,2018,1.4203366895750311
arg,2018,2019,1.5092149870873062
